Category,SKU,Title,Description,Benefit 1,Benefit 2,Benefit 3,back image,Cost Per Bottle (30),Cost Per Bottle (100),Cost Per Bottle (200),Ingredients,Recommended Price,Servings,Capsules,,,Name,Study,,,,Cost Per Bottle (1)
,,,,,,,,,,,Bilberry,,,,,"Bilberry has traditionally been used to support proper functioning of the eye.* It helps to synthesize compounds that maintain artery walls, support connective tissue health and strengthen capillaries.*",US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/books/NBK92770/,,,,
,,,,,,,,,,,Spirulina,,,,,"Spirulina is a strong source of blue-green algae which supports healthy functioning of the liver and immune system, to aid in detoxification.*",US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2907180/,,,,
,,,,,,,,,,,Echinacea,,,,,Echinacea is a popular herb and people commonly take it to help combat flu and colds. It is a genus of herbaceous flowering plants in the daisy family - Asteraceae.*,University of Maryland Medical Center,http://umm.edu/health/medical/altmed/herb/echinacea,,,,
,4-21010,Youth Complex,"Combines over 30 high potent, full spectrum nutrients to support defense against aging, stress, and obesity.",Healthy Digestion,Reduce Bloating,Cardiovascular Health,Youth_Complex.png,$9.80,$7.50,$7.50,PABA,$25.00,30,90,Tablets,"P-amino benzoic acid (PABA) is an organic compound that is also known as 4-aminobenzoic acid and para-aminobenzoic acid. It can be synthesized in the body and is therefore considered a nonessential nutrient in humans. However, PABA is used to synthesize folic acid, which is an essential nutrient.",Anti Aging and Life Extension Medicine Institute,http://warddeanmd.com/dmae-and-paba/,,,,$20.00
,,,,,,,,,,,Rutin,,,,,"Rutin, a type of bioflavonoid, is found in black tea, buckwheat bran, many citrus fruits and even apple skins, and is also available as a supplement in capsule or tablet form. Rutin helps the body utilize vitamin C and produce collagen (skin's main building blocks), can be used to treat conditions such as hemorrhoids and high blood pressure (hypertension), and can also reduce cholesterol levels.",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/11083486,,,,
,,,,,,,,,,,Horsetail,,,,,"Horsetail (Equisetum arvense) is an herbal remedy that dates back to ancient Roman and Greek times. It was used traditionally to stop bleeding, heal ulcers and wounds, and treat tuberculosis and kidney problems. Horsetail contains silicon, which helps strengthen bone.",University of Maryland Medical Center,http://www.naturalnews.com/034772_horsetail_shave_grass_silica.html,,,,
Strength,9-43153,Creatine Complex,Clinically studied to improve physical performance and enhance muscle growth.*,Build Lean Muscle,Fastens Recovery,Increases Endurance,Creatine.png,$8.50,$6.80,$6.80,Creatine,$15.00,30,60,Tablet,"Creatine is a key player in the phosphagen energy system, the primary source of ATP (the main energy substrate in our body) during short-term, high intensity activities.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3407788/,,,,$15.00
,4-24007,Whey Protein Isolate,Clinically shown to help increase physical power and fight against disease.*,Build Lean Muscle,Fastens Recovery,,Whey_Protein_Isolate_(Vanilla).png,$19.73,$15.78,$15.78,Whey Protein Isolate,$40.00,37,N/A,Powder,"Whey isolate is one of the most complete forms of protein available and because it lacks carbs, fats, cholesterol and lactose, a single serving of whey isolate may provide your body with all of the amino acids it needs to promote ideal health results from workout and fitness efforts.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/21912246,,,,$40.00
,9-29593,Nitric Oxide Complex,"Clinically studied to improve the circulation of blood, regulatory activites and releas of hormones leading to increased physical endurance.*",Boosts Energy,Build Lean Muscle,Increases Endurance,Nitric_Oxide.png,$13.00,$10.40,$10.40,A-AKG,$28.00,30,60,Tablet,"Targets multiple pathways and important metabolic functions, including the angiotensin converting enzyme (ACE) and endothelial nitric oxide synthase (eNOS); the enzyme that produces nitric oxide.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/9809945,,,,$28.00
,,,,,,,,,,,,,,,,"Beta alanine is a nutritional supplement widely used by athletes and bodybuilders to improve performance. Its role is to promote high intramuscular concentrations of carnosine, a small molecule composed of the amino acids histidine and alanine. Carnosine acts as a buffering agent that helps maintain an optimal muscle pH range which delays the onset of muscular failure.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3374095/,,,,
,4-26020,Pre-Workout,"Clinically studied ingredients to promote experiences of greater stamina, endurance and faster recovery throughout physical activity.*",Boosts Energy,Increases Endurance,Build Lean Muscle,Pre_Workout_(Fruit_Punch).png,$13.81,$11.05,$11.05,Beta-Alanine,$30.00,30,N/A,Powder,"The most important benefit of Niacin, or vitamin B3, is its ability to lower cholesterol levels and control them. Niacin also releases energy into the body's cells, but is primarily used to lower high cholesterol levels.*",The New England Medical Journal,http://www.nejm.org/doi/full/10.1056/NEJMoa1300955,,,,$30.00
,,,,,,,,,,,Vitamin B12,,,,,Vitamin B12 is a water-soluble vitamin that keeps your nerves and red blood cells healthy. It is responsible for the smooth functioning of several critical body processes.*,University of Maryland Medical Center,http://umm.edu/health/medical/altmed/supplement/vitamin-b12-cobalamin,,,,
,,,,,,,,,,,Creatine Monohydrate,,,,,"Creatine is a key player in the phosphagen energy system, the primary source of ATP (the main energy substrate in our body) during short-term, high intensity activities.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3407788/,,,,
,,,,,,,,,,,Yohimbe Extract,,,,,"Some of the most important health benefits of yohimbe include its ability to improve circulation, protect heart health, boost sexual energy, aid in weight loss, and improve mood.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/17214405,,,,
,3-26022,Recovery Complex,"Combines free form amino acids to support hormone, enzyme and antibody formation in addition to fat mobilization*",Build Lean Muscle,Increases Endurance,Boosts Energy,Recovery_Complex.png,$9.80,$7.50,$7.50,Taurine,$30.00,30,N/A,Powder,Taurine is an amino acid that supports neurological development and helps regulate the level of water and minerals in the blood. Taurine is also thought to have antioxidant properties.,US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2586397/,,,,$25.00
,,,,,,,,,,,Leucine,,,,,L-Leucine is one of the three Branched Chain Amino Acids and sometimes referred to as the 'main' amino acid due to the most popular benefit of BCAAs (muscle building) being mostly due to leucine.*,US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/10418071,,,,
,,,,,,,,,,,Isoleucine,,,,,Isoleucine is important for protein synthesis and other anabolic and anti-catabolic processes in the body.*,US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/10418071,,,,
,,,,,,,,,,,Valine,,,,,L-Valine is an essential amino acid that is required to sooth one's nervous system and aid cognitive function.*,US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/10418071,,,,
,4-25001,Testosterone Complex,"Clinically studied to support healthy sex drive, pleasure, and functionality for men*",Increases Endurance,Boosts Energy,Increased Focus,Testosterone_Complex.png,$9.80,$7.50,$7.50,Tongkat Ali,$30.00,30,60,Capsules,"Tongkat Ali is a well-known aphrodisiac that supports sexual excitement, sexual mood enhancement, sexual response, heightened sensitivty, sexual desire, and intimacy.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3669033/,,,,$25.00
,,,,,,,,,,,Maca,,,,,"Maca is an adaptogen that helps the body cope with stress. It also supports mood, focus, and concentration.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3184420/,,,,
,,,,,,,,,,,Ginseng,,,,,"Ginseng is a plant that grows in Korea, northeastern China, and far eastern Siberia. It is used to improve thinking, concentration, memory, Alzheimer's disease, work efficiency, physical stamina, preventing muscle damage from exercise, and athletic endurance.*",University of Maryland Medical Center,http://umm.edu/health/medical/altmed/herb/american-ginseng,,,,
,,,,,,,,,,,Tribulus Terrestris,,,,,"Tribulus Terrestris aids sexual performance by supporting energy production, endurance, and physical and mental stamina.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/17530942,,,,
,3-26014,Energy Complex,"Combines over 10 high potent ingredients to support energy production, endurance, and physical and mental stamina.*",Boosts Energy,Increases Endurance,Increased Focus,Energy_Complex.png,$9.80,$7.50,$7.50,Tribulus Terrestris,$30.00,30,30,Capsules,"Tribulus Terrestris aids sexual performance by supporting energy production, endurance, and physical and mental stamina.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/17530942,,,,$25.00
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Energy,9-39281,Ginseng Complex,"Clinically studied to support the adrenal glands, reduce mental fatigue as well as support physical stamina and endurance.*",Enhanced Memory,Increases Endurance,Gluten Free,Ginseng_Complex.png,$10.00,$8.00,$8.00,Panax Ginseng,$20.00,60,60,Capsules,"Panax ginseng is a plant that grows in Korea, northeastern China, and far eastern Siberia. It is used to improve thinking, concentration, memory, Alzheimer's disease, work efficiency, physical stamina, preventing muscle damage from exercise, and athletic endurance.*",US National Library of Medicine National Institutes of Health,http://www.ncbi.nlm.nih.gov/pubmed/20737519,,,,$20.00
,,,,,,,,,,,American Ginseng,,,,,"American ginseng (Panax quinquefolis) is an herb that grows mainly in North America. It is widely used for its benefits with stress, to boost the immune system, and as a stimulant.*",University of Maryland Medical Center,http://umm.edu/health/medical/altmed/herb/american-ginseng,,,,
,3-26014,Energy Complex,"Combines over 10 high potent ingredients to support energy production, endurance, and physical and mental stamina.*",Boosts Energy,Increases Endurance,Increased Focus,Energy_Complex.png,$9.80,$7.50,$7.50,Tribulus Terrestris,$30.00,30,30,Capsules,"Tribulus Terrestris aids sexual performance by supporting energy production, endurance, and physical and mental stamina.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/17530942,,,,$25.00
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,4-26020,Pre-Workout,"Clinically studied ingredients to promote experiences of greater stamina, endurance and faster recovery throughout physical activity.*",Boosts Energy,Increases Endurance,Build Lean Muscle,Pre_Workout_(Fruit_Punch).png,$13.81,$11.05,$11.05,Beta-Alanine,$30.00,30,N/A,Powder,"The most important benefit of Niacin, or vitamin B3, is its ability to lower cholesterol levels and control them. Niacin also releases energy into the body's cells, but is primarily used to lower high cholesterol levels.*",The New England Medical Journal,http://www.nejm.org/doi/full/10.1056/NEJMoa1300955,,,,$30.00
,,,,,,,,,,,Vitamin B12,,,,,Vitamin B12 is a water-soluble vitamin that keeps your nerves and red blood cells healthy. It is responsible for the smooth functioning of several critical body processes.*,University of Maryland Medical Center,http://umm.edu/health/medical/altmed/supplement/vitamin-b12-cobalamin,,,,
,,,,,,,,,,,Creatine Monohydrate,,,,,"Creatine is a key player in the phosphagen energy system, the primary source of ATP (the main energy substrate in our body) during short-term, high intensity activities.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3407788/,,,,
,,,,,,,,,,,Yohimbe Extract,,,,,"Some of the most important health benefits of yohimbe include its ability to improve circulation, protect heart health, boost sexual energy, aid in weight loss, and improve mood.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/17214405,,,,
Focus,4-04008,Nootropic Complex,"Clinically studied to help healthy individuals support memory, focus, and processing speed.*",Enhanced Memory,Increased Focus,Gluten Free,Nootropic_Complex.png,$12.00,$7.00,$7.00,Gingko Biloba,$40.00,60,60,Capsules,Ginkgo has a long history of use in treating blood disorders and memory issues. It is best known today as way to potentially keep your memory sharp. Laboratory studies have shown that ginkgo improves blood circulation by opening up blood vessels and making blood less sticky. It is also an antioxidant.*,National Institute of Health,https://nccih.nih.gov/research/results/gems/qa.htm,,,,$25.00
,,,,,,,,,,,Bacopa Monnier,,,,,"We�ve also included Bacopa to support the normal cleansing of the nervous system, through its constituents bacosides A and B, which support protein synthesis and subsequently normal nerve signal transmission.* Bacosides support the health of neurons by balancing kinase activity, neuronal synthesis, and snaptic activity*",US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/18611150,,,,
,,,,,,,,,,,Acetyl-L-Carnitine,,,,,"In certain brain areas, neurons can multiply and increase in number. The growth hormone known as Brain-Derived Neurotrophic Factor, or BDNF, is a main component of that process. Decreased levels of BDNF have been linked to common brain disorders, like depression and Alzheimer�s. Acetyl-L-Carnitine supports normal levels of BDNF in the brain.*",National Institute of Health,https://ods.od.nih.gov/News/Carnitine_Conference_Summary.aspx,,,,
,,,,,,,,,,,Phosphatidylserine,,,,,"Phosphatidylserine (PS) is a fatty acid that affects the neurotransmitters that affect memory, is a component of the cell�s membrane, and is a major phospholipid in the brain and nervous system. It supports nerve cells, releases neurotransmitters (acetylcholine and dopamine) in the brain to support cognition and memory.*",US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2966935/,,,,
,3-09026,Krill Oil,Clinically studied to support joint & cognitive functions and cardiovascular health.*,Enhances Memory,Relieves Joint Pain,Non-GMO,Krill_Oil.png,$13.54,$10.83,$10.83,Krill Oil,$25.00,60,60,Softgel,"Krill Oil is a natural extract from Antarctic krill Euphausia superba. It naturally contains phospholipids with bonded omega-3, and is rich in EPA and DHA along with esterified astaxanthin. Rich in omega-3 fatty acids and esterified astaxanthin, Krill Oil provides unique benefits that differ from other omega-3 sources.*",BioMed Central Open Access Publisher,http://lipidworld.biomedcentral.com/articles/10.1186/s12944-015-0015-4,,,,$25.00
,4-25001,Testosterone Complex,"Clinically studied to support healthy sex drive, pleasure, and functionality for men*",Increases Endurance,Boosts Energy,Increased Focus,Testosterone_Complex.png,$9.80,$7.50,$7.50,Tongkat Ali,$30.00,30,60,Capsules,"Tongkat Ali is a well-known aphrodisiac that supports sexual excitement, sexual mood enhancement, sexual response, heightened sensitivty, sexual desire, and intimacy.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3669033/,,,,$25.00
,,,,,,,,,,,Maca,,,,,"Maca is an adaptogen that helps the body cope with stress. It also supports mood, focus, and concentration.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3184420/,,,,
,,,,,,,,,,,Ginseng,,,,,"Ginseng is a plant that grows in Korea, northeastern China, and far eastern Siberia. It is used to improve thinking, concentration, memory, Alzheimer's disease, work efficiency, physical stamina, preventing muscle damage from exercise, and athletic endurance.*",University of Maryland Medical Center,http://umm.edu/health/medical/altmed/herb/american-ginseng,,,,
,,,,,,,,,,,Tribulus Terrestris,,,,,"Tribulus Terrestris aids sexual performance by supporting energy production, endurance, and physical and mental stamina.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/17530942,,,,
